Model,Accuracy,Fake Precision,Fake Recall,Fake F1-score,Real Precision,Real Recall,Real F1-score
lr,0.6761955650547689,0.6908548707753479,0.09077847439916406,0.16047102285846226,0.6908548707753479,0.09077847439916406,0.16047102285846226
xgb,0.6636833199750646,0.5198153135821469,0.17646290491118077,0.26348122866894197,0.5198153135821469,0.17646290491118077,0.26348122866894197
svm,0.6749042657404933,0.6944140197152245,0.08281086729362591,0.14797525965690278,0.6944140197152245,0.08281086729362591,0.14797525965690278
sgd,0.6770861163059934,0.6621187800963082,0.10775862068965517,0.18535160638058862,0.6621187800963082,0.10775862068965517,0.18535160638058862
pac,0.6749933208656158,0.5630519251148004,0.2082027168234065,0.3039954229045485,0.5630519251148004,0.2082027168234065,0.3039954229045485
voting,0.6762400926173301,0.6627218934911243,0.10240334378265413,0.17739563299015726,0.6627218934911243,0.10240334378265413,0.17739563299015726
